,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
100,101,2004-02-08,Suelo,Alquiler,Girona,162,710694,2004-09-27,María
101,102,2004-02-08,Local,Venta,Barcelona,45,438435,2004-05-23,Luisa
102,103,2004-02-08,Casa,Alquiler,Girona,258,1188090,2004-07-19,María
103,104,2004-02-09,Oficina,Venta,Tarragona,104,699400,2004-07-14,Luisa
104,105,2004-02-10,Piso,Alquiler,Girona,238,1854496,2005-02-02,Luisa
105,106,2004-02-10,Piso,Alquiler,Lleida,300,2105700,2005-01-26,Pedro
106,107,2004-02-10,Suelo,Alquiler,Girona,222,1791318,2004-12-13,Jesús
107,108,2004-02-12,Suelo,Alquiler,Tarragona,187,1782297,2004-12-20,Joaquín
108,109,2004-02-12,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09,Pedro
109,110,2004-02-12,Parking,Venta,Barcelona,206,1587642,2004-12-20,Luisa
110,111,2004-02-13,Suelo,Alquiler,Tarragona,162,954666,2004-11-25,Joaquín
111,112,2004-02-13,Local,Alquiler,Lleida,160,1064800,2004-09-22,Pedro
112,113,2004-02-13,Suelo,Alquiler,Barcelona,89,887241,2005-01-02,Luisa
113,114,2004-02-14,Suelo,Venta,Girona,103,806799,2005-01-11,Joaquín
114,115,2004-02-14,Industrial,Venta,Tarragona,54,438750,2004-08-15,Carmen
115,116,2004-02-15,Parking,Venta,Girona,103,973659,2005-01-04,Jesús
116,117,2004-02-15,Oficina,Venta,Girona,274,1724008,2004-09-26,Joaquín
117,118,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10,Luisa
118,119,2004-02-16,Parking,Venta,Lleida,51,307989,2004-07-06,Pedro
119,120,2004-02-16,Piso,Venta,Tarragona,174,973878,2004-12-13,Jesús
120,121,2004-02-17,Parking,Venta,Barcelona,152,688864,2004-12-06,Jesús
121,122,2004-02-17,Casa,Alquiler,Barcelona,270,1385910,2005-02-05,Pedro
122,123,2004-02-17,Local,Alquiler,Girona,179,1461356,2004-07-30,Pedro
123,124,2004-02-18,Suelo,Alquiler,Tarragona,212,926228,2004-09-05,Joaquín
124,125,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25,Carmen
125,126,2004-02-19,Industrial,Venta,Tarragona,194,1373132,2004-08-31,María
126,127,2004-02-20,Industrial,Venta,Barcelona,139,1087119,2004-05-29,Jesús
127,128,2004-02-20,Casa,Venta,Tarragona,130,1230190,2005-01-04,Luisa
128,129,2004-02-21,Parking,Alquiler,Lleida,206,1363926,2005-01-08,Carmen
129,130,2004-02-21,Oficina,Venta,Tarragona,216,1389096,2004-11-23,Luisa
130,131,2004-02-21,Local,Venta,Lleida,55,477345,2004-09-04,Carmen
131,132,2004-02-21,Oficina,Venta,Tarragona,190,1268630,2004-12-04,Jesús
132,133,2004-02-22,Suelo,Alquiler,Tarragona,62,391964,2004-11-14,Pedro
133,134,2004-02-22,Oficina,Alquiler,Tarragona,275,1765225,2005-02-20,Joaquín
134,135,2004-02-22,Local,Venta,Lleida,45,229455,2004-10-05,Jesús
135,136,2004-02-23,Oficina,Alquiler,Lleida,105,624435,2004-06-24,Joaquín
136,137,2004-02-23,Casa,Venta,Barcelona,119,686154,2005-01-19,Pedro
137,138,2004-02-24,Industrial,Venta,Girona,88,678480,2004-12-28,Luisa
138,139,2004-02-26,Local,Alquiler,Tarragona,63,533925,2004-09-22,Joaquín
139,140,2004-02-26,Piso,Venta,Barcelona,222,1076034,2004-06-02,María
140,141,2004-02-27,Suelo,Venta,Barcelona,47,455477,2004-12-31,Joaquín
141,142,2004-02-27,Oficina,Venta,Tarragona,123,1128156,2004-09-23,Pedro
142,143,2004-02-27,Oficina,Alquiler,Tarragona,134,1310520,2004-12-28,María
143,144,2004-02-28,Parking,Alquiler,Barcelona,121,782870,2004-11-19,Pedro
144,145,2004-02-28,Piso,Venta,Girona,50,315550,2004-10-14,Pedro
145,146,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20,Luisa
146,147,2004-02-28,Parking,Alquiler,Barcelona,76,734388,2004-05-28,Joaquín
147,148,2004-02-28,Local,Venta,Barcelona,109,779241,2004-05-30,María
148,149,2004-02-29,Piso,Venta,Lleida,249,1492506,2005-02-12,Luisa
149,150,2004-03-01,Casa,Alquiler,Lleida,212,1800516,2004-12-19,Jesús
150,151,2004-03-01,Oficina,Alquiler,Lleida,128,1259904,2004-10-02,Luisa
151,152,2004-03-02,Oficina,Venta,Tarragona,172,1063648,2005-02-13,María
152,153,2004-03-02,Piso,Venta,Lleida,68,434656,2004-07-13,María
153,154,2004-03-02,Industrial,Alquiler,Lleida,52,508924,2004-09-03,Pedro
154,155,2004-03-03,Suelo,Alquiler,Girona,185,1403595,2004-10-02,Pedro
155,156,2004-03-03,Casa,Venta,Girona,284,1561432,2004-07-01,Pedro
156,157,2004-03-03,Oficina,Venta,Tarragona,202,1891932,2004-10-02,María
157,158,2004-03-03,Casa,Alquiler,Lleida,100,731700,2004-10-10,Luisa
158,159,2004-03-04,Local,Venta,Lleida,106,563178,2004-08-01,Pedro
159,160,2004-03-04,Casa,Venta,Tarragona,211,875228,2004-07-23,María
160,161,2004-03-04,Suelo,Venta,Tarragona,165,1305480,2004-07-29,Jesús
161,162,2004-03-05,Piso,Alquiler,Lleida,251,1361675,2004-08-16,Jesús
162,163,2004-03-05,Local,Venta,Tarragona,266,1161090,2004-11-23,Carmen
163,164,2004-03-05,Oficina,Alquiler,Girona,287,1395681,2004-09-13,Carmen
164,165,2004-03-05,Industrial,Venta,Tarragona,104,1001104,2004-10-11,Luisa
165,166,2004-03-06,Oficina,Venta,Tarragona,250,2275500,2004-07-29,Luisa
166,167,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14,Luisa
167,168,2004-03-06,Suelo,Venta,Lleida,221,1842035,2004-10-15,Joaquín
168,169,2004-03-07,Industrial,Alquiler,Barcelona,286,2080078,2004-07-14,Jesús
169,170,2004-03-08,Suelo,Alquiler,Lleida,73,597286,2005-02-20,Joaquín
170,171,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13,Joaquín
171,172,2004-03-08,Piso,Alquiler,Tarragona,108,558252,2004-10-19,María
172,173,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08,Joaquín
173,174,2004-03-09,Piso,Alquiler,Lleida,143,1131416,2004-08-25,Joaquín
174,175,2004-03-10,Local,Venta,Barcelona,52,416936,2004-08-25,Carmen
175,176,2004-03-10,Industrial,Alquiler,Lleida,193,1658835,2004-08-30,Jesús
176,177,2004-03-11,Suelo,Venta,Tarragona,148,1431012,2004-09-01,Jesús
177,178,2004-03-11,Local,Venta,Tarragona,118,513300,2004-10-26,María
178,179,2004-03-12,Industrial,Venta,Barcelona,156,848328,2005-02-27,Jesús
179,180,2004-03-12,Suelo,Alquiler,Tarragona,201,1874928,2004-06-21,Jesús
180,181,2004-03-12,Oficina,Venta,Tarragona,42,367584,2004-08-11,Joaquín
181,182,2004-03-13,Local,Alquiler,Tarragona,162,1323054,2004-08-25,Joaquín
182,183,2004-03-14,Local,Alquiler,Girona,231,1446522,2004-09-02,Carmen
183,184,2004-03-14,Suelo,Venta,Tarragona,273,1447992,2004-10-24,Pedro
184,185,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27,María
185,186,2004-03-16,Casa,Alquiler,Girona,87,779868,2004-10-23,Jesús
186,187,2004-03-16,Local,Alquiler,Barcelona,95,919030,2004-12-10,María
187,188,2004-03-16,Casa,Venta,Lleida,63,537264,2005-02-08,Carmen
188,189,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25,Jesús
189,190,2004-03-17,Parking,Alquiler,Lleida,95,448210,2004-10-25,Pedro
190,191,2004-03-18,Suelo,Alquiler,Tarragona,71,431325,2004-07-23,Carmen
191,192,2004-03-18,Local,Venta,Girona,56,553616,2005-03-09,Pedro
192,193,2004-03-18,Suelo,Venta,Tarragona,59,453651,2004-10-07,María
193,194,2004-03-19,Local,Alquiler,Girona,117,986895,2004-09-14,Pedro
194,195,2004-03-19,Piso,Venta,Girona,62,250852,2004-07-21,Carmen
195,196,2004-03-20,Piso,Alquiler,Barcelona,281,1336717,2004-11-10,Carmen
196,197,2004-03-20,Piso,Venta,Tarragona,87,519738,2005-01-13,Carmen
197,198,2004-03-21,Oficina,Alquiler,Girona,174,720882,2004-08-14,Pedro
198,199,2004-03-21,Oficina,Venta,Lleida,177,842343,2005-03-10,María
199,200,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26,Pedro
200,201,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09,Pedro
201,202,2004-03-22,Piso,Alquiler,Girona,52,298272,2004-08-13,María
202,203,2004-03-22,Local,Alquiler,Girona,169,902798,2004-07-16,Luisa
203,204,2004-03-23,Local,Alquiler,Barcelona,106,692180,2004-11-09,Luisa
204,205,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04,Luisa
205,206,2004-03-23,Piso,Alquiler,Lleida,250,2253500,2005-02-21,Joaquín
206,207,2004-03-23,Piso,Alquiler,Lleida,134,1338124,2004-08-19,Luisa
207,208,2004-03-23,Casa,Venta,Lleida,156,1369680,2004-09-27,Pedro
208,209,2004-03-24,Parking,Venta,Lleida,167,1643948,2004-09-21,María
209,210,2004-03-24,Oficina,Alquiler,Lleida,206,1297594,2005-03-03,Carmen
210,211,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
211,212,2004-03-25,Casa,Alquiler,Barcelona,63,492156,2004-10-25,Carmen
212,213,2004-03-26,Suelo,Alquiler,Lleida,223,1932518,2005-01-19,Pedro
213,214,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26,Carmen
214,215,2004-03-27,Parking,Alquiler,Girona,214,1219158,2004-07-13,Pedro
215,216,2004-03-27,Industrial,Venta,Tarragona,263,1494892,2005-02-02,María
216,217,2004-03-28,Industrial,Alquiler,Lleida,216,1398600,2004-11-03,Luisa
217,218,2004-03-29,Suelo,Alquiler,Tarragona,65,461435,2004-12-31,Carmen
218,219,2004-03-29,Industrial,Alquiler,Girona,46,351256,2005-03-28,Luisa
219,220,2004-03-30,Industrial,Alquiler,Lleida,209,1042283,2004-09-17,Jesús
220,221,2004-03-30,Casa,Alquiler,Barcelona,56,474600,2004-08-27,Pedro
