,Tipo,Operación,Provincia,Vendedor
0,Parking,Alquiler,Lleida,Carmen
1,Local,Venta,Girona,Pedro
2,Oficina,Alquiler,Girona,Joaquín
3,Parking,Alquiler,Girona,Jesús
4,Suelo,Venta,Tarragona,María
5,Industrial,Alquiler,Girona,Pedro
6,Parking,Alquiler,Tarragona,Pedro
7,Oficina,Venta,Girona,Jesús
8,Piso,Alquiler,Lleida,Jesús
9,Parking,Venta,Lleida,Joaquín
10,Oficina,Alquiler,Girona,Pedro
11,Industrial,Venta,Girona,Carmen
12,Parking,Venta,Barcelona,Jesús
13,Local,Venta,Tarragona,Carmen
14,Industrial,Alquiler,Girona,Pedro
15,Casa,Alquiler,Girona,Carmen
16,Casa,Alquiler,Tarragona,Luisa
17,Suelo,Venta,Barcelona,Carmen
18,Piso,Alquiler,Girona,Luisa
19,Oficina,Alquiler,Barcelona,María
20,Industrial,Venta,Barcelona,Carmen
21,Oficina,Alquiler,Lleida,Pedro
22,Casa,Alquiler,Girona,Luisa
23,Oficina,Alquiler,Tarragona,Joaquín
24,Oficina,Alquiler,Barcelona,Jesús
25,Local,Alquiler,Tarragona,Jesús
26,Local,Alquiler,Tarragona,Pedro
27,Casa,Alquiler,Barcelona,Joaquín
28,Casa,Alquiler,Tarragona,Luisa
29,Local,Alquiler,Tarragona,Carmen
30,Industrial,Alquiler,Barcelona,Jesús
31,Casa,Alquiler,Girona,María
32,Local,Alquiler,Barcelona,María
33,Casa,Venta,Barcelona,María
34,Industrial,Alquiler,Tarragona,Luisa
35,Industrial,Alquiler,Tarragona,Luisa
36,Local,Venta,Girona,Pedro
37,Suelo,Alquiler,Tarragona,Joaquín
38,Parking,Alquiler,Tarragona,Joaquín
39,Oficina,Venta,Girona,Jesús
40,Piso,Venta,Barcelona,Jesús
41,Oficina,Venta,Tarragona,Jesús
42,Oficina,Alquiler,Girona,María
43,Casa,Venta,Girona,María
44,Oficina,Alquiler,Barcelona,Joaquín
45,Oficina,Alquiler,Lleida,Carmen
46,Piso,Alquiler,Barcelona,Luisa
47,Industrial,Venta,Barcelona,Jesús
48,Local,Venta,Girona,Jesús
49,Local,Alquiler,Tarragona,Carmen
50,Industrial,Venta,Lleida,Joaquín
51,Local,Alquiler,Lleida,María
52,Suelo,Alquiler,Tarragona,Carmen
53,Suelo,Alquiler,Barcelona,Luisa
54,Local,Venta,Girona,Carmen
55,Piso,Venta,Lleida,María
56,Oficina,Alquiler,Lleida,Carmen
57,Local,Alquiler,Girona,María
58,Industrial,Venta,Tarragona,Joaquín
59,Oficina,Alquiler,Lleida,Jesús
60,Casa,Venta,Tarragona,Carmen
61,Industrial,Venta,Tarragona,Joaquín
62,Piso,Venta,Barcelona,Luisa
63,Industrial,Venta,Lleida,María
64,Oficina,Venta,Tarragona,Luisa
65,Suelo,Venta,Lleida,Pedro
66,Industrial,Alquiler,Barcelona,Jesús
67,Local,Alquiler,Barcelona,Luisa
68,Local,Venta,Girona,María
69,Casa,Alquiler,Tarragona,María
70,Casa,Venta,Girona,Carmen
71,Suelo,Venta,Tarragona,Carmen
72,Parking,Alquiler,Barcelona,Joaquín
73,Industrial,Venta,Girona,Joaquín
74,Suelo,Venta,Tarragona,Jesús
75,Suelo,Alquiler,Tarragona,Pedro
76,Industrial,Alquiler,Tarragona,Pedro
77,Piso,Venta,Lleida,María
78,Parking,Venta,Barcelona,Carmen
79,Parking,Alquiler,Barcelona,Carmen
80,Industrial,Alquiler,Barcelona,Pedro
81,Parking,Venta,Girona,Pedro
