Provincia,Operación,Superficie,Precio Venta,Vendedor
Lleida,Alquiler,291,2133903,Carmen
Lleida,Alquiler,108,1024380,Jesús
Lleida,Venta,299,2042768,Joaquín
Lleida,Alquiler,116,727552,Pedro
Lleida,Alquiler,224,1294048,Carmen
Lleida,Venta,90,568620,Joaquín
Lleida,Alquiler,206,1605564,María
Lleida,Venta,54,239220,María
Lleida,Alquiler,54,512730,Carmen
Lleida,Alquiler,270,1920240,Jesús
Lleida,Venta,57,509010,María
Lleida,Venta,272,2119424,Pedro
Lleida,Venta,87,448485,María
Lleida,Venta,56,471072,María
Lleida,Venta,227,1467782,Carmen
Lleida,Alquiler,300,2105700,Pedro
Lleida,Alquiler,160,1064800,Pedro
Lleida,Venta,51,307989,Pedro
Lleida,Alquiler,206,1363926,Carmen
Lleida,Venta,55,477345,Carmen
Lleida,Venta,45,229455,Jesús
Lleida,Alquiler,105,624435,Joaquín
Lleida,Venta,249,1492506,Luisa
Lleida,Alquiler,212,1800516,Jesús
Lleida,Alquiler,128,1259904,Luisa
Lleida,Venta,68,434656,María
Lleida,Alquiler,52,508924,Pedro
Lleida,Alquiler,100,731700,Luisa
Lleida,Venta,106,563178,Pedro
Lleida,Alquiler,251,1361675,Jesús
Lleida,Venta,221,1842035,Joaquín
Lleida,Alquiler,73,597286,Joaquín
Lleida,Alquiler,143,1131416,Joaquín
Lleida,Alquiler,193,1658835,Jesús
Lleida,Venta,63,537264,Carmen
Lleida,Alquiler,95,448210,Pedro
Lleida,Venta,177,842343,María
Lleida,Alquiler,250,2253500,Joaquín
Lleida,Alquiler,134,1338124,Luisa
Lleida,Venta,156,1369680,Pedro
Lleida,Venta,167,1643948,María
Lleida,Alquiler,206,1297594,Carmen
Lleida,Alquiler,223,1932518,Pedro
Lleida,Alquiler,216,1398600,Luisa
Lleida,Alquiler,209,1042283,Jesús
Lleida,Venta,179,1670965,Luisa
Lleida,Venta,126,848358,Pedro
Lleida,Alquiler,268,2338032,Pedro
Lleida,Venta,260,2038660,Carmen
Lleida,Venta,298,1870546,Luisa
Lleida,Alquiler,175,747075,Pedro
Lleida,Venta,124,1130632,Pedro
Lleida,Alquiler,168,1622040,María
Lleida,Alquiler,261,1220697,Carmen
Lleida,Alquiler,201,1107108,Joaquín
Lleida,Venta,52,446888,María
Lleida,Alquiler,237,1093281,Jesús
Lleida,Venta,270,2409210,Carmen
Lleida,Alquiler,120,722880,Joaquín
Lleida,Alquiler,113,1102880,Jesús
Lleida,Alquiler,177,924294,Luisa
Lleida,Venta,163,895359,Pedro
Lleida,Venta,142,1055912,Jesús
Lleida,Venta,196,1645616,Carmen
Lleida,Alquiler,237,1763517,Luisa
Lleida,Venta,121,792792,Pedro
Lleida,Venta,61,605425,Carmen
Lleida,Alquiler,46,440772,Jesús
Lleida,Venta,285,1922325,María
Lleida,Venta,148,634920,Joaquín
Lleida,Venta,99,783783,Jesús
Lleida,Alquiler,259,1992228,Pedro
Lleida,Alquiler,154,830830,Luisa
Lleida,Venta,130,1176630,Jesús
Lleida,Venta,291,1505925,Luisa
Lleida,Venta,141,732495,Luisa
Lleida,Venta,267,1257036,Luisa
Lleida,Venta,137,961192,Jesús
