Vendedor,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta
Carmen,1,2004-01-01,Parking,Alquiler,Lleida,291,2133903,2004-06-19
Pedro,2,2004-01-01,Local,Venta,Girona,199,1945424,2004-04-19
Jesús,4,2004-01-02,Parking,Alquiler,Girona,285,1815450,2004-04-27
María,5,2004-01-02,Suelo,Venta,Tarragona,152,1138024,2004-07-10
Pedro,6,2004-01-03,Industrial,Alquiler,Girona,131,953156,2004-09-05
Jesús,8,2004-01-03,Oficina,Venta,Girona,235,2158475,2004-10-31
Jesús,9,2004-01-04,Piso,Alquiler,Lleida,108,1024380,2004-12-28
Joaquín,10,2004-01-04,Parking,Venta,Lleida,299,2042768,2004-10-06
Pedro,11,2004-01-04,Oficina,Alquiler,Girona,124,627068,2004-10-28
Carmen,12,2004-01-04,Industrial,Venta,Girona,187,999328,2004-04-05
Jesús,13,2004-01-04,Parking,Venta,Barcelona,300,2937300,2004-11-04
Pedro,15,2004-01-04,Industrial,Alquiler,Girona,176,820336,2004-11-29
Carmen,16,2004-01-05,Casa,Alquiler,Girona,179,937960,2004-11-21
Carmen,18,2004-01-06,Suelo,Venta,Barcelona,283,1679605,2004-06-06
María,20,2004-01-08,Oficina,Alquiler,Barcelona,148,1169496,2004-08-19
Carmen,21,2004-01-09,Industrial,Venta,Barcelona,228,2020992,2004-06-12
Pedro,22,2004-01-09,Oficina,Alquiler,Lleida,116,727552,2004-04-14
Luisa,23,2004-01-10,Casa,Alquiler,Girona,183,1438929,2004-04-21
Jesús,25,2004-01-10,Oficina,Alquiler,Barcelona,124,1170684,2004-05-23
Joaquín,28,2004-01-12,Casa,Alquiler,Barcelona,187,1660560,2004-06-16
Carmen,30,2004-01-12,Local,Alquiler,Tarragona,201,939072,2004-08-04
Jesús,31,2004-01-13,Industrial,Alquiler,Barcelona,142,1405374,2004-09-24
María,33,2004-01-15,Local,Alquiler,Barcelona,181,1504110,2004-07-03
María,34,2004-01-15,Casa,Venta,Barcelona,281,2483197,2004-11-01
Luisa,35,2004-01-15,Industrial,Alquiler,Tarragona,257,1799771,2004-12-31
Luisa,36,2004-01-16,Industrial,Alquiler,Tarragona,140,1054340,2004-12-02
Pedro,37,2004-01-16,Local,Venta,Girona,229,1160572,2004-07-09
Joaquín,38,2004-01-17,Suelo,Alquiler,Tarragona,300,1492800,2004-12-08
Joaquín,39,2004-01-18,Parking,Alquiler,Tarragona,215,1154980,2005-01-14
Jesús,40,2004-01-18,Oficina,Venta,Girona,182,1057784,2004-07-22
Jesús,41,2004-01-18,Piso,Venta,Barcelona,230,1421860,2004-09-23
Jesús,42,2004-01-19,Oficina,Venta,Tarragona,168,1426992,2004-11-20
María,44,2004-01-19,Casa,Venta,Girona,278,1537062,2004-12-16
Joaquín,45,2004-01-20,Oficina,Alquiler,Barcelona,287,2851058,2005-01-02
Carmen,46,2004-01-20,Oficina,Alquiler,Lleida,224,1294048,2004-10-29
Jesús,48,2004-01-20,Industrial,Venta,Barcelona,284,1457488,2004-07-06
