Tipo,Referencia,Fecha Alta,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
Parking,1,2004-01-01,Alquiler,Lleida,291,2133903,2004-06-19,Carmen
Local,2,2004-01-01,Venta,Girona,199,1945424,2004-04-19,Pedro
Parking,4,2004-01-02,Alquiler,Girona,285,1815450,2004-04-27,Jesús
Suelo,5,2004-01-02,Venta,Tarragona,152,1138024,2004-07-10,María
Industrial,6,2004-01-03,Alquiler,Girona,131,953156,2004-09-05,Pedro
Oficina,8,2004-01-03,Venta,Girona,235,2158475,2004-10-31,Jesús
Piso,9,2004-01-04,Alquiler,Lleida,108,1024380,2004-12-28,Jesús
Parking,10,2004-01-04,Venta,Lleida,299,2042768,2004-10-06,Joaquín
Oficina,11,2004-01-04,Alquiler,Girona,124,627068,2004-10-28,Pedro
Industrial,12,2004-01-04,Venta,Girona,187,999328,2004-04-05,Carmen
Parking,13,2004-01-04,Venta,Barcelona,300,2937300,2004-11-04,Jesús
Industrial,15,2004-01-04,Alquiler,Girona,176,820336,2004-11-29,Pedro
Casa,16,2004-01-05,Alquiler,Girona,179,937960,2004-11-21,Carmen
Suelo,18,2004-01-06,Venta,Barcelona,283,1679605,2004-06-06,Carmen
Oficina,20,2004-01-08,Alquiler,Barcelona,148,1169496,2004-08-19,María
Industrial,21,2004-01-09,Venta,Barcelona,228,2020992,2004-06-12,Carmen
Oficina,22,2004-01-09,Alquiler,Lleida,116,727552,2004-04-14,Pedro
Casa,23,2004-01-10,Alquiler,Girona,183,1438929,2004-04-21,Luisa
Oficina,25,2004-01-10,Alquiler,Barcelona,124,1170684,2004-05-23,Jesús
Casa,28,2004-01-12,Alquiler,Barcelona,187,1660560,2004-06-16,Joaquín
Local,30,2004-01-12,Alquiler,Tarragona,201,939072,2004-08-04,Carmen
Industrial,31,2004-01-13,Alquiler,Barcelona,142,1405374,2004-09-24,Jesús
Local,33,2004-01-15,Alquiler,Barcelona,181,1504110,2004-07-03,María
Casa,34,2004-01-15,Venta,Barcelona,281,2483197,2004-11-01,María
Industrial,35,2004-01-15,Alquiler,Tarragona,257,1799771,2004-12-31,Luisa
Industrial,36,2004-01-16,Alquiler,Tarragona,140,1054340,2004-12-02,Luisa
Local,37,2004-01-16,Venta,Girona,229,1160572,2004-07-09,Pedro
Suelo,38,2004-01-17,Alquiler,Tarragona,300,1492800,2004-12-08,Joaquín
Parking,39,2004-01-18,Alquiler,Tarragona,215,1154980,2005-01-14,Joaquín
Oficina,40,2004-01-18,Venta,Girona,182,1057784,2004-07-22,Jesús
Piso,41,2004-01-18,Venta,Barcelona,230,1421860,2004-09-23,Jesús
Oficina,42,2004-01-19,Venta,Tarragona,168,1426992,2004-11-20,Jesús
Casa,44,2004-01-19,Venta,Girona,278,1537062,2004-12-16,María
Oficina,45,2004-01-20,Alquiler,Barcelona,287,2851058,2005-01-02,Joaquín
Oficina,46,2004-01-20,Alquiler,Lleida,224,1294048,2004-10-29,Carmen
Industrial,48,2004-01-20,Venta,Barcelona,284,1457488,2004-07-06,Jesús
Local,50,2004-01-20,Alquiler,Tarragona,235,957625,2004-11-13,Carmen
Local,52,2004-01-22,Alquiler,Lleida,206,1605564,2004-09-26,María
Suelo,53,2004-01-22,Alquiler,Tarragona,158,1438748,2004-10-17,Carmen
Local,55,2004-01-22,Venta,Girona,127,983234,2004-07-09,Carmen
Local,58,2004-01-24,Alquiler,Girona,274,2287626,2004-12-21,María
Industrial,59,2004-01-24,Venta,Tarragona,166,1373816,2004-11-19,Joaquín
Oficina,60,2004-01-24,Alquiler,Lleida,270,1920240,2004-06-28,Jesús
Casa,61,2004-01-24,Venta,Tarragona,120,1140840,2004-09-12,Carmen
Industrial,62,2004-01-24,Venta,Tarragona,178,1142938,2005-01-23,Joaquín
Piso,63,2004-01-25,Venta,Barcelona,144,738144,2004-09-06,Luisa
Oficina,65,2004-01-26,Venta,Tarragona,144,1436832,2004-05-26,Luisa
Suelo,66,2004-01-27,Venta,Lleida,272,2119424,2004-12-24,Pedro
Industrial,67,2004-01-27,Alquiler,Barcelona,219,948927,2004-10-15,Jesús
Local,69,2004-01-27,Venta,Girona,248,2212408,2004-10-09,María
Casa,70,2004-01-28,Alquiler,Tarragona,179,1647695,2004-07-12,María
Casa,71,2004-01-28,Venta,Girona,235,1939925,2004-11-01,Carmen
Suelo,72,2004-01-28,Venta,Tarragona,216,1478952,2004-10-15,Carmen
Industrial,74,2004-01-29,Venta,Girona,229,1098055,2004-10-22,Joaquín
Suelo,76,2004-01-29,Alquiler,Tarragona,234,1757106,2004-12-28,Pedro
Industrial,77,2004-01-30,Alquiler,Tarragona,112,1104992,2004-06-25,Pedro
Parking,79,2004-01-31,Venta,Barcelona,298,2520484,2004-11-27,Carmen
Parking,80,2004-01-31,Alquiler,Barcelona,217,1339107,2004-10-05,Carmen
Industrial,81,2004-02-01,Alquiler,Barcelona,236,1812244,2004-11-17,Pedro
Parking,82,2004-02-02,Venta,Girona,117,1069731,2004-09-14,Pedro
Local,85,2004-02-02,Alquiler,Barcelona,127,925322,2004-06-03,Joaquín
Piso,86,2004-02-03,Venta,Girona,275,2141700,2005-01-08,Jesús
Suelo,90,2004-02-04,Venta,Girona,292,2685816,2004-07-24,Pedro
Industrial,91,2004-02-04,Alquiler,Barcelona,123,723609,2004-12-16,Joaquín
Industrial,93,2004-02-05,Alquiler,Tarragona,132,922020,2004-10-23,Joaquín
Industrial,94,2004-02-06,Alquiler,Barcelona,177,965358,2004-06-08,Luisa
Industrial,96,2004-02-07,Alquiler,Tarragona,103,728931,2005-02-05,Jesús
Casa,98,2004-02-07,Venta,Lleida,227,1467782,2005-02-01,Carmen
Industrial,99,2004-02-07,Alquiler,Girona,251,2067236,2004-12-22,María
Local,100,2004-02-08,Alquiler,Tarragona,125,531375,2004-06-23,Jesús
Suelo,101,2004-02-08,Alquiler,Girona,162,710694,2004-09-27,María
Casa,103,2004-02-08,Alquiler,Girona,258,1188090,2004-07-19,María
Oficina,104,2004-02-09,Venta,Tarragona,104,699400,2004-07-14,Luisa
Piso,105,2004-02-10,Alquiler,Girona,238,1854496,2005-02-02,Luisa
Piso,106,2004-02-10,Alquiler,Lleida,300,2105700,2005-01-26,Pedro
Suelo,107,2004-02-10,Alquiler,Girona,222,1791318,2004-12-13,Jesús
Suelo,108,2004-02-12,Alquiler,Tarragona,187,1782297,2004-12-20,Joaquín
Suelo,109,2004-02-12,Alquiler,Barcelona,300,1528200,2004-08-09,Pedro
Parking,110,2004-02-12,Venta,Barcelona,206,1587642,2004-12-20,Luisa
Suelo,111,2004-02-13,Alquiler,Tarragona,162,954666,2004-11-25,Joaquín
Local,112,2004-02-13,Alquiler,Lleida,160,1064800,2004-09-22,Pedro
Suelo,114,2004-02-14,Venta,Girona,103,806799,2005-01-11,Joaquín
Parking,116,2004-02-15,Venta,Girona,103,973659,2005-01-04,Jesús
Oficina,117,2004-02-15,Venta,Girona,274,1724008,2004-09-26,Joaquín
Oficina,118,2004-02-15,Venta,Girona,253,2047276,2004-09-10,Luisa
Piso,120,2004-02-16,Venta,Tarragona,174,973878,2004-12-13,Jesús
Parking,121,2004-02-17,Venta,Barcelona,152,688864,2004-12-06,Jesús
Casa,122,2004-02-17,Alquiler,Barcelona,270,1385910,2005-02-05,Pedro
Local,123,2004-02-17,Alquiler,Girona,179,1461356,2004-07-30,Pedro
Suelo,124,2004-02-18,Alquiler,Tarragona,212,926228,2004-09-05,Joaquín
Industrial,125,2004-02-19,Venta,Girona,118,1067192,2004-08-25,Carmen
Industrial,126,2004-02-19,Venta,Tarragona,194,1373132,2004-08-31,María
Industrial,127,2004-02-20,Venta,Barcelona,139,1087119,2004-05-29,Jesús
Casa,128,2004-02-20,Venta,Tarragona,130,1230190,2005-01-04,Luisa
Parking,129,2004-02-21,Alquiler,Lleida,206,1363926,2005-01-08,Carmen
Oficina,130,2004-02-21,Venta,Tarragona,216,1389096,2004-11-23,Luisa
Oficina,132,2004-02-21,Venta,Tarragona,190,1268630,2004-12-04,Jesús
Oficina,134,2004-02-22,Alquiler,Tarragona,275,1765225,2005-02-20,Joaquín
Oficina,136,2004-02-23,Alquiler,Lleida,105,624435,2004-06-24,Joaquín
Casa,137,2004-02-23,Venta,Barcelona,119,686154,2005-01-19,Pedro
Piso,140,2004-02-26,Venta,Barcelona,222,1076034,2004-06-02,María
Oficina,142,2004-02-27,Venta,Tarragona,123,1128156,2004-09-23,Pedro
Oficina,143,2004-02-27,Alquiler,Tarragona,134,1310520,2004-12-28,María
Parking,144,2004-02-28,Alquiler,Barcelona,121,782870,2004-11-19,Pedro
Parking,146,2004-02-28,Venta,Girona,274,2028970,2004-08-20,Luisa
Local,148,2004-02-28,Venta,Barcelona,109,779241,2004-05-30,María
Piso,149,2004-02-29,Venta,Lleida,249,1492506,2005-02-12,Luisa
Casa,150,2004-03-01,Alquiler,Lleida,212,1800516,2004-12-19,Jesús
Oficina,151,2004-03-01,Alquiler,Lleida,128,1259904,2004-10-02,Luisa
Oficina,152,2004-03-02,Venta,Tarragona,172,1063648,2005-02-13,María
Suelo,155,2004-03-03,Alquiler,Girona,185,1403595,2004-10-02,Pedro
Casa,156,2004-03-03,Venta,Girona,284,1561432,2004-07-01,Pedro
Oficina,157,2004-03-03,Venta,Tarragona,202,1891932,2004-10-02,María
Local,159,2004-03-04,Venta,Lleida,106,563178,2004-08-01,Pedro
Casa,160,2004-03-04,Venta,Tarragona,211,875228,2004-07-23,María
Suelo,161,2004-03-04,Venta,Tarragona,165,1305480,2004-07-29,Jesús
Piso,162,2004-03-05,Alquiler,Lleida,251,1361675,2004-08-16,Jesús
Local,163,2004-03-05,Venta,Tarragona,266,1161090,2004-11-23,Carmen
Oficina,164,2004-03-05,Alquiler,Girona,287,1395681,2004-09-13,Carmen
Industrial,165,2004-03-05,Venta,Tarragona,104,1001104,2004-10-11,Luisa
Oficina,166,2004-03-06,Venta,Tarragona,250,2275500,2004-07-29,Luisa
Parking,167,2004-03-06,Venta,Girona,169,1370759,2005-01-14,Luisa
Suelo,168,2004-03-06,Venta,Lleida,221,1842035,2004-10-15,Joaquín
Industrial,169,2004-03-07,Alquiler,Barcelona,286,2080078,2004-07-14,Jesús
Suelo,171,2004-03-08,Venta,Girona,144,1358640,2004-11-13,Joaquín
Piso,172,2004-03-08,Alquiler,Tarragona,108,558252,2004-10-19,María
Oficina,173,2004-03-09,Venta,Girona,268,2400476,2005-03-08,Joaquín
Piso,174,2004-03-09,Alquiler,Lleida,143,1131416,2004-08-25,Joaquín
Industrial,176,2004-03-10,Alquiler,Lleida,193,1658835,2004-08-30,Jesús
Suelo,177,2004-03-11,Venta,Tarragona,148,1431012,2004-09-01,Jesús
Local,178,2004-03-11,Venta,Tarragona,118,513300,2004-10-26,María
Industrial,179,2004-03-12,Venta,Barcelona,156,848328,2005-02-27,Jesús
Suelo,180,2004-03-12,Alquiler,Tarragona,201,1874928,2004-06-21,Jesús
Local,182,2004-03-13,Alquiler,Tarragona,162,1323054,2004-08-25,Joaquín
Local,183,2004-03-14,Alquiler,Girona,231,1446522,2004-09-02,Carmen
Suelo,184,2004-03-14,Venta,Tarragona,273,1447992,2004-10-24,Pedro
Industrial,185,2004-03-15,Venta,Barcelona,265,2109930,2004-08-27,María
Parking,189,2004-03-17,Venta,Girona,160,1261600,2004-10-25,Jesús
Local,194,2004-03-19,Alquiler,Girona,117,986895,2004-09-14,Pedro
Piso,196,2004-03-20,Alquiler,Barcelona,281,1336717,2004-11-10,Carmen
Oficina,198,2004-03-21,Alquiler,Girona,174,720882,2004-08-14,Pedro
